"","SOM","SPOM","SEDBAC","WATBAC","PHY","ZOO","DETAMPS","BIVALVS","FILTFEDSHRS","CARPOLS","THISCUS","ECHCORS","DETCARSHRS","PAGURIS","CEPHALS","OPHIURS","DETPOLRS","CARCRAS","ANTHOZOS","METRIDTR","CARCRATR","SUSGASTR","CARPOLTR","SUDECRATR","MYTILUTR","NUDIBRTR","BALANOTR","JASSATR","DETPOLTR","BIVALVTR","OPHIURTR","LEPTRETR","SDAMPTR","ASTRUBU","PSAMMU","DETCRARU","CARPOLPU","NEPHTYU","NEMERTU","PLEURO","ECHVIP","CALLSP","POMSP","AMMOD","GADID","MULSUR","DIC","EXP","BUR"
"SOM",0,0,4.07967166484145,0,0,0,0.420122089564434,2.55911426334658,0.00227703642956952,0.0178916631294101,0.0192096585742217,1.59394375822784,0.00341916290151104,0.00312943124845818,0,0.0173853294663599,1.05955764201088,0.00127556958907439,0,0,0,0,0,0,0,0,0,0,0.00181797310289067,0,0,0.00206372607827836,0,0,0,0.0310647174809898,0.00842166824570835,0.914913489158411,0.000105070687759592,0,0,0,0.000810714438851461,0,0,0,0,0.720154849155673,0.8
"SPOM",5.97415493298278,0,0,5.09412591592672,0,0,0,0,0.000536466170365935,0,0.00417363416871297,0,0.00146567666980082,0.000757707472044179,0,0.00843437596042946,1.16478892429921,0,3.81514054386582e-05,0.040978384066192,0.126065444232542,0.0939319658766588,0.0422981019777806,0.0642924546532606,0.00103004530661878,0.00461111434093415,0.031201048823427,0.0280407882373261,0.0169435195243594,0.00300251438015692,0.00111176221069376,0.000191412083014699,0.000196219328741306,0,0,0.0121570240581931,0.0215765199213222,5.32262708663193,0.000174086275003917,0,0,0,0.00124977861932378,0,0,0,0,0.560124761943237,0
"SEDBAC",1.59813035254931,0,0,0,0,0,0.180052324099044,0.0275260384622656,0,0.000207170277435675,0.000221831453081008,0.0182771156860853,3.99755407328978e-05,3.56059508304789e-05,0,0.000201025683158492,0.0122469358271597,1.47247511279135e-05,0,0,0,0,0,0,0,0,0,0,2.11952567103458e-05,0,0,0,0,0,0,0.000347110419208262,9.84666882026754e-05,0.0105324460505755,1.22236063339296e-06,0,0,0,9.40273495250121e-06,0,0,0,2.22670872105094,0,0.00500000000000001
"WATBAC",0,1.37719405534783,0,0,0,0,0,0,0,0,0,0,1.70662589458475e-05,8.75071989530137e-06,0,9.92850177997773e-05,0.0135527332794701,0,4.36338657437607e-07,0.000468391802403494,0.00147056595794079,0.00111178017086324,0.000498032334772577,0.000757511542259159,1.20345328984155e-05,5.40554423164518e-05,0.000360579900062887,0.000335890489748405,0.000202201228351805,3.50829662067002e-05,1.30928311602532e-05,2.26511269152663e-06,2.30505555796948e-06,0,0,0.0143176964830489,0.000246950925858005,0.960449724356408,2.01887497181234e-06,0,0,0,1.46889972161308e-05,0,0,0,2.72289871995939,0,0
"PHY",0,4.30115615996132,0,0,0,15.0513580773318,0,2.00873094512214,0.00731312995449656,0.00850108658922286,0.00730441714966063,0,0.00217688896800222,0.00444321351739086,0,0,0,0.000760529574737381,4.6854189061624e-06,0.00503275275238687,0,0.0595850419902453,0.00780934522372804,0.129729945058258,0.00459425245331379,0,0.0429015600406361,0.057528381232321,0,0.0117574361360888,0.00276340849592964,0,0.00017543357284637,0,0.0569794609804798,0.0149752329320964,0,0.45337256387401,0,0,0,0,0.000357908692918425,0.000752196686484926,0,0,10.1675741873504,0.780890643588249,0
"ZOO",0,5.16781856142671,0,0,0,0,0,0.2249057087285,0.000404537095279903,0,0,0,0.000581814714412605,0,0.00100441704717439,0,0,0,0.000157815923114455,0.17720926375328,0.0573409401036425,0,0.0362484589976752,0.0242994373862092,0.000403890794305383,0,0.0119332124489082,0.011076861133429,0,0.0011678774341984,0.000426518756370101,0,7.63968941507461e-05,0,0.0789504419924632,0,0,0,0,0.0381559544830459,0.00474236181569369,0.00260291030183932,0.000791447331128929,0.00108345119262253,6.66091395088853e-05,0.000115077092207312,8.69809009518742,0.511704016158567,0
"DETAMPS",0.285379493114161,0,0,0,0,0,0,0,0,0.012058657695991,0,0,0.000600470230040444,0,0.0010347166816775,0.00338650910496045,0,0.000310307023994604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103814467698828,0,0.0101590562798095,0,0,0,0.0341258477263662,0.00350660560623035,0.00258762770905805,0.000781417048928792,0.00106956687963235,6.45331388110758e-05,0.000110282874548645,0.123464970053635,0.111152905725702,0
"BIVALVS",2.39951162249212,0,0,0,0,0,0,0,0,0,0,0,0.000680759114710915,0,0.00111223381763935,0.00408092202685796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952813536670163,9.38546125301814e-05,0.035488580196585,0,0.00260784995923751,0,0.00107424713880919,6.09723446597379e-05,9.98807704976586e-05,0.865632668733013,0.557019827782634,0
"FILTFEDSHRS",0.00624811748753008,0,0,0,0,0,0,0,0.000285041291059761,0,0,0,0.000332714365017181,0,0.000416408427325074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000583666496894545,0,0.000524289110210391,0.000346143859040362,0.000405707309952332,5.86271001516534e-05,9.42102714981539e-05,0.00172061292909433,0.000600915173426153,0
"CARPOLS",0.0350664912217467,0,0,0,0,0,0,0,0,0.00282281841105562,0,0,0,0,0,0,0,0.000200693461222756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216028613501452,0.00310879832639944,0,0,0.00322081939127567,0,0.00302142356574483,0,0.00124472857793348,0.00105947059838334,0.000683836844515586,8.47466447696182e-05,0.000155697968391292,0.0099094958615324,0.0032736521177215,0
